baseline_name,bitstring,capital_avg,connectivity_mode,continuous_objective,continuous_weight_ranking,continuous_weights,cvar95,exp_return,feasible,feasible_probability_mass,liquidity_avg,model_version,noise_model,noise_strength,objective_scaled,objective_unscaled,optimal_bitstring_probability,p,selected_count,source,var95,variance,volatility,worst_scenario_return
,00011110,0.255,,,,,0.009723474166627308,0.00040136846539452477,True,,3.3,base,,,-2.2857157013726352,-128.00038925298003,,,4,exact_best_overall,0.007857503665480084,2.423097068309339e-05,0.00492249638731136,-0.017289437775115817
,00011110,0.255,,,,,0.009723474166627308,0.00040136846539452477,True,,3.3,base,,,-2.2857157013726352,-128.00038925298003,,,4,exact_best_feasible,0.007857503665480084,2.423097068309339e-05,0.00492249638731136,-0.017289437775115817
greedy,00011110,0.255,,,,,0.009723474166627308,0.00040136846539452477,True,,3.3,base,,,-2.2857157013726352,-128.00038925298003,,,4,greedy,0.007857503665480084,2.423097068309339e-05,0.00492249638731136,-0.017289437775115817
continuous_top_budget_proxy,00011110,0.255,,-0.00022391002024715605,"[('HY Credit', 0.130254996225779), ('Equities Intl', 0.12853692497422983), ('Equities US', 0.1264284006048223), ('Real Estate', 0.1260037343818748), ('Infrastructure', 0.12397039940360656), ('Gov Bonds', 0.12257176493433976), ('Cash', 0.12225356267840855), ('IG Credit', 0.11998021679693915)]","[0.12225356267840855, 0.12257176493433976, 0.11998021679693915, 0.130254996225779, 0.1264284006048223, 0.12853692497422983, 0.1260037343818748, 0.12397039940360656]",0.009723474166627308,0.00040136846539452477,True,,3.3,base,,,-2.2857157013726352,-128.00038925298003,,,4,continuous_top_budget_proxy,0.007857503665480084,2.423097068309339e-05,0.00492249638731136,-0.017289437775115817
,11110000,0.026250000000000002,,,,,0.003862263144996963,0.00014175668131193657,True,,3.7291666666666665,capital,,,-2.2854413456386906,-127.98474124423478,,,4,exact_best_overall,0.0030993187299400886,3.923443727937423e-06,0.0019807684690385757,-0.0061288469164794655
,11110000,0.026250000000000002,,,,,0.003862263144996963,0.00014175668131193657,True,,3.7291666666666665,capital,,,-2.2854413456386906,-127.98474124423478,,,4,exact_best_feasible,0.0030993187299400886,3.923443727937423e-06,0.0019807684690385757,-0.0061288469164794655
greedy,11110000,0.026250000000000002,,,,,0.003862263144996963,0.00014175668131193657,True,,3.7291666666666665,capital,,,-2.2854413456386906,-127.98474124423478,,,4,greedy,0.0030993187299400886,3.923443727937423e-06,0.0019807684690385757,-0.0061288469164794655
continuous_top_budget_proxy,00011110,0.255,,-0.00022391002024715605,"[('HY Credit', 0.130254996225779), ('Equities Intl', 0.12853692497422983), ('Equities US', 0.1264284006048223), ('Real Estate', 0.1260037343818748), ('Infrastructure', 0.12397039940360656), ('Gov Bonds', 0.12257176493433976), ('Cash', 0.12225356267840855), ('IG Credit', 0.11998021679693915)]","[0.12225356267840855, 0.12257176493433976, 0.11998021679693915, 0.130254996225779, 0.1264284006048223, 0.12853692497422983, 0.1260037343818748, 0.12397039940360656]",0.009723474166627308,0.00040136846539452477,True,,3.3,capital,,,-2.282485785316095,-127.8192298326902,,,4,continuous_top_budget_proxy,0.007857503665480084,2.423097068309339e-05,0.00492249638731136,-0.017289437775115817
,11001100,0.17875000000000002,,,,,0.007480630763016092,0.00022025036243339478,True,,4.208333333333334,liquidity,,,-2.285360897745042,-127.98024803137652,,,4,exact_best_overall,0.006105606318071657,1.3882416242758013e-05,0.00372591146469666,-0.01061984985922049
,11001100,0.17875000000000002,,,,,0.007480630763016092,0.00022025036243339478,True,,4.208333333333334,liquidity,,,-2.285360897745042,-127.98024803137652,,,4,exact_best_feasible,0.006105606318071657,1.3882416242758013e-05,0.00372591146469666,-0.01061984985922049
