,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,0,0.0714297057692,0.0714297057815,0.0714297059139,0.0714297060059,0.0714297060101,0.0714297059389,0.0714297059189
Gov Bonds,0.0714297057692,0,0.0714297060063,0.0714297061432,0.0714297065926,0.07142970678,0.0714297062979,0.0714297063123
IG Credit,0.0714297057815,0.0714297060063,0,0.0714297066218,0.0714297068323,0.0714297073644,0.0714297066508,0.0714297063409
HY Credit,0.0714297059139,0.0714297061432,0.0714297066218,0,0.0714297079726,0.0714297079869,0.0714297075019,0.0714297071346
Equities US,0.0714297060059,0.0714297065926,0.0714297068323,0.0714297079726,0,0.0714297092873,0.0714297080725,0.0714297079292
Equities Intl,0.0714297060101,0.07142970678,0.0714297073644,0.0714297079869,0.0714297092873,0,0.0714297103148,0.0714297076862
Real Estate,0.0714297059389,0.0714297062979,0.0714297066508,0.0714297075019,0.0714297080725,0.0714297103148,0,0.0714297091302
Infrastructure,0.0714297059189,0.0714297063123,0.0714297063409,0.0714297071346,0.0714297079292,0.0714297076862,0.0714297091302,0
