,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,0,0.0714285503977,0.0714285504101,0.0714285505424,0.0714285506345,0.0714285506386,0.0714285505675,0.0714285505474
Gov Bonds,0.0714285503977,0,0.0714285506348,0.0714285507717,0.0714285512211,0.0714285514086,0.0714285509264,0.0714285509409
IG Credit,0.0714285504101,0.0714285506348,0,0.0714285512504,0.0714285514608,0.0714285519929,0.0714285512793,0.0714285509694
HY Credit,0.0714285505424,0.0714285507717,0.0714285512504,0,0.0714285526011,0.0714285526154,0.0714285521304,0.0714285517631
Equities US,0.0714285506345,0.0714285512211,0.0714285514608,0.0714285526011,0,0.0714285539158,0.071428552701,0.0714285525577
Equities Intl,0.0714285506386,0.0714285514086,0.0714285519929,0.0714285526154,0.0714285539158,0,0.0714285549433,0.0714285523147
Real Estate,0.0714285505675,0.0714285509264,0.0714285512793,0.0714285521304,0.071428552701,0.0714285549433,0,0.0714285537587
Infrastructure,0.0714285505474,0.0714285509409,0.0714285509694,0.0714285517631,0.0714285525577,0.0714285523147,0.0714285537587,0
