,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,-0.999985079978,0.285718823077,0.285718823126,0.285718823655,0.285718824024,0.28571882404,0.285718823756,0.285718823675
Gov Bonds,0,-1,0.285718824025,0.285718824573,0.28571882637,0.28571882712,0.285718825192,0.285718825249
IG Credit,0,0,-0.999587159065,0.285718826487,0.285718827329,0.285718829458,0.285718826603,0.285718825364
HY Credit,0,0,0,-0.998970957368,0.28571883189,0.285718831947,0.285718830007,0.285718828538
Equities US,0,0,0,0,-0.998761654732,0.285718837149,0.28571883229,0.285718831717
Equities Intl,0,0,0,0,0,-0.998715737488,0.285718841259,0.285718830745
Real Estate,0,0,0,0,0,0,-0.998340984799,0.285718836521
Infrastructure,0,0,0,0,0,0,0,-0.998269651239
