,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,-1,0.285714228091,0.28571422814,0.285714228669,0.285714229038,0.285714229054,0.28571422877,0.285714228689
Gov Bonds,0,-0.999983917804,0.285714229039,0.285714229587,0.285714231384,0.285714232134,0.285714230206,0.285714230263
IG Credit,0,0,-0.999950857737,0.285714231501,0.285714232343,0.285714234472,0.285714231617,0.285714230378
HY Credit,0,0,0,-0.999791945124,0.285714236904,0.285714236961,0.285714235021,0.285714233552
Equities US,0,0,0,0,-0.998885101353,0.285714242163,0.285714237304,0.285714236731
Equities Intl,0,0,0,0,0,-0.998885687813,0.285714246273,0.285714235759
Real Estate,0,0,0,0,0,0,-0.999208485653,0.285714241534
Infrastructure,0,0,0,0,0,0,0,-0.999369668074
