,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,-0.999997780596,0.285713593975,0.285713594025,0.285713594554,0.285713594923,0.285713594939,0.285713594654,0.285713594574
Gov Bonds,0,-0.999997873346,0.285713594924,0.285713595471,0.285713597269,0.285713598019,0.28571359609,0.285713596148
IG Credit,0,0,-0.99999716317,0.285713597386,0.285713598228,0.285713600356,0.285713597502,0.285713596262
HY Credit,0,0,0,-1,0.285713602789,0.285713602846,0.285713600906,0.285713599437
Equities US,0,0,0,0,-0.999998953149,0.285713608048,0.285713603189,0.285713602615
Equities Intl,0,0,0,0,0,-0.999999539608,0.285713612158,0.285713601643
Real Estate,0,0,0,0,0,0,-0.999998838551,0.285713607419
Infrastructure,0,0,0,0,0,0,0,-0.999998271523
