,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,0,0.0714283984939,0.0714283985062,0.0714283986386,0.0714283987306,0.0714283987348,0.0714283986636,0.0714283986436
Gov Bonds,0.0714283984939,0,0.071428398731,0.0714283988679,0.0714283993173,0.0714283995047,0.0714283990226,0.071428399037
IG Credit,0.0714283985062,0.071428398731,0,0.0714283993465,0.071428399557,0.0714284000891,0.0714283993755,0.0714283990656
HY Credit,0.0714283986386,0.0714283988679,0.0714283993465,0,0.0714284006972,0.0714284007115,0.0714284002265,0.0714283998593
Equities US,0.0714283987306,0.0714283993173,0.071428399557,0.0714284006972,0,0.071428402012,0.0714284007972,0.0714284006539
Equities Intl,0.0714283987348,0.0714283995047,0.0714284000891,0.0714284007115,0.071428402012,0,0.0714284030394,0.0714284004108
Real Estate,0.0714283986636,0.0714283990226,0.0714283993755,0.0714284002265,0.0714284007972,0.0714284030394,0,0.0714284018548
Infrastructure,0.0714283986436,0.071428399037,0.0714283990656,0.0714283998593,0.0714284006539,0.0714284004108,0.0714284018548,0
