,Cash,Gov Bonds,IG Credit,HY Credit,Equities US,Equities Intl,Real Estate,Infrastructure
Cash,0,0.0714285570227,0.071428557035,0.0714285571674,0.0714285572594,0.0714285572636,0.0714285571924,0.0714285571724
Gov Bonds,0.0714285570227,0,0.0714285572598,0.0714285573967,0.0714285578461,0.0714285580335,0.0714285575514,0.0714285575658
IG Credit,0.071428557035,0.0714285572598,0,0.0714285578753,0.0714285580858,0.0714285586179,0.0714285579043,0.0714285575944
HY Credit,0.0714285571674,0.0714285573967,0.0714285578753,0,0.071428559226,0.0714285592403,0.0714285587553,0.0714285583881
Equities US,0.0714285572594,0.0714285578461,0.0714285580858,0.071428559226,0,0.0714285605408,0.071428559326,0.0714285591827
Equities Intl,0.0714285572636,0.0714285580335,0.0714285586179,0.0714285592403,0.0714285605408,0,0.0714285615683,0.0714285589396
Real Estate,0.0714285571924,0.0714285575514,0.0714285579043,0.0714285587553,0.071428559326,0.0714285615683,0,0.0714285603836
Infrastructure,0.0714285571724,0.0714285575658,0.0714285575944,0.0714285583881,0.0714285591827,0.0714285589396,0.0714285603836,0
